id name division gender
vu000 "Kelly  Mr. James" 3 male
vu204 "Andrew  Mr. Frank Thomas" 2 male
vu205 "Omont  Mr. Alfred Fernand" 1 male
vu206 "McGowan  Miss. Katherine" 3 female
vu207 "Collett  Mr. Sidney C Stuart" 2 male
vu208 "Rosenbaum  Miss. Edith Louise" 1 female
vu209 "Delalic  Mr. Redjo" 3 male
vu210 "Andersen  Mr. Albert Karvin" 3 male
vu211 "Finoli  Mr. Luigi" 3 male
vu212 "Deacon  Mr. Percy William" 2 male
vu213 "Howard  Mrs. Benjamin (Ellen Truelove Arman)" 2 female
vu214 "Andersson  Miss. Ida Augusta Margareta" 3 female
vu215 "Head  Mr. Christopher" 1 male
vu216 "Mahon  Miss. Bridget Delia" 3 female
vu217 "Wick  Mr. George Dennick" 1 male
vu218 "Widener  Mrs. George Dunton (Eleanor Elkins)" 1 female
vu219 "Thomson  Mr. Alexander Morrison" 3 male
vu220 "Duran y More  Miss. Florentina" 2 female
vu221 "Reynolds  Mr. Harold J" 3 male
vu222 "Cook  Mrs. (Selena Rogers)" 2 female
vu223 "Karlsson  Mr. Einar Gervasius" 3 male
vu224 "Candee  Mrs. Edward (Helen Churchill Hungerford)" 1 female
vu225 "Moubarek  Mrs. George (Omine Amenia"" Alexander)""" 3 female
vu226 "Asplund  Mr. Johan Charles" 3 male
vu227 "McNeill  Miss. Bridget" 3 female
vu228 "Everett  Mr. Thomas James" 3 male
vu229 "Hocking  Mr. Samuel James Metcalfe" 2 male
vu230 "Sweet  Mr. George Frederick" 2 male
vu231 "Willard  Miss. Constance" 1 female
vu232 "Wiklund  Mr. Karl Johan" 3 male
vu233 "Linehan  Mr. Michael" 3 male
vu234 "Cumings  Mr. John Bradley" 1 male
vu235 "Vendel  Mr. Olof Edvin" 3 male
vu236 "Warren  Mr. Frank Manley" 1 male
vu237 "Baccos  Mr. Raffull" 3 male
vu238 "Hiltunen  Miss. Marta" 2 female
vu239 "Douglas  Mrs. Walter Donald (Mahala Dutton)" 1 female
vu240 "Lindstrom  Mrs. Carl Johan (Sigrid Posse)" 1 female
vu241 "Christy  Mrs. (Alice Frances)" 2 female
vu242 "Spedden  Mr. Frederic Oakley" 1 male
vu243 "Hyman  Mr. Abraham" 3 male
vu244 "Johnston  Master. William Arthur Willie""""" 3 male
vu245 "Kenyon  Mr. Frederick R" 1 male
vu246 "Karnes  Mrs. J Frank (Claire Bennett)" 2 female
vu247 "Drew  Mr. James Vivian" 2 male
vu248 "Hold  Mrs. Stephen (Annie Margaret Hill)" 2 female
vu249 "Khalil  Mrs. Betros (Zahie Maria"" Elias)""" 3 female
vu250 "West  Miss. Barbara J" 2 female
vu251 "Abrahamsson  Mr. Abraham August Johannes" 3 male
vu252 "Clark  Mr. Walter Miller" 1 male
vu253 "Salander  Mr. Karl Johan" 3 male
vu254 "Wenzel  Mr. Linhart" 3 male
vu255 "MacKay  Mr. George William" 3 male
vu256 "Mahon  Mr. John" 3 male
vu257 "Niklasson  Mr. Samuel" 3 male
vu258 "Bentham  Miss. Lilian W" 2 female
vu259 "Midtsjo  Mr. Karl Albert" 3 male
vu260 "de Messemaeker  Mr. Guillaume Joseph" 3 male
vu261 "Nilsson  Mr. August Ferdinand" 3 male
vu262 "Wells  Mrs. Arthur Henry (Addie"" Dart Trevaskis)""" 2 female
vu263 "Klasen  Miss. Gertrud Emilia" 3 female
vu264 "Portaluppi  Mr. Emilio Ilario Giuseppe" 2 male
vu265 "Lyntakoff  Mr. Stanko" 3 male
vu266 "Chisholm  Mr. Roderick Robert Crispin" 1 male
vu267 "Warren  Mr. Charles William" 3 male
vu268 "Howard  Miss. May Elizabeth" 3 female
vu269 "Pokrnic  Mr. Mate" 3 male
vu270 "McCaffry  Mr. Thomas Francis" 1 male
vu271 "Fox  Mr. Patrick" 3 male
vu272 "Clark  Mrs. Walter Miller (Virginia McDowell)" 1 female
vu273 "Lennon  Miss. Mary" 3 female
vu274 "Saade  Mr. Jean Nassr" 3 male
vu275 "Bryhl  Miss. Dagmar Jenny Ingeborg " 2 female
vu276 "Parker  Mr. Clifford Richard" 2 male
vu277 "Faunthorpe  Mr. Harry" 2 male
vu278 "Ware  Mr. John James" 2 male
vu279 "Oxenham  Mr. Percy Thomas" 2 male
vu280 "Oreskovic  Miss. Jelka" 3 female
vu281 "Peacock  Master. Alfred Edward" 3 male
vu282 "Fleming  Miss. Honora" 3 female
vu283 "Touma  Miss. Maria Youssef" 3 female
vu284 "Rosblom  Miss. Salli Helena" 3 female
vu285 "Dennis  Mr. William" 3 male
vu286 "Franklin  Mr. Charles (Charles Fardon)" 3 male
vu287 "Snyder  Mr. John Pillsbury" 1 male
vu288 "Mardirosian  Mr. Sarkis" 3 male
vu289 "Ford  Mr. Arthur" 3 male
vu290 "Rheims  Mr. George Alexander Lucien" 1 male
vu291 "Daly  Miss. Margaret Marcella Maggie""""" 3 female
vu292 "Nasr  Mr. Mustafa" 3 male
vu293 "Dodge  Dr. Washington" 1 male
vu294 "Wittevrongel  Mr. Camille" 3 male
vu295 "Angheloff  Mr. Minko" 3 male
vu296 "Laroche  Miss. Louise" 2 female
vu297 "Samaan  Mr. Hanna" 3 male
vu298 "Loring  Mr. Joseph Holland" 1 male
vu299 "Johansson  Mr. Nils" 3 male
vu300 "Olsson  Mr. Oscar Wilhelm" 3 male
vu301 "Malachard  Mr. Noel" 2 male
vu302 "Phillips  Mr. Escott Robert" 2 male
vu303 "Pokrnic  Mr. Tome" 3 male
vu304 "McCarthy  Miss. Catherine Katie""""" 3 female
vu305 "Crosby  Mrs. Edward Gifford (Catherine Elizabeth Halstead)" 1 female
vu306 "Allison  Mr. Hudson Joshua Creighton" 1 male
vu307 "Aks  Master. Philip Frank" 3 male
vu308 "Hays  Mr. Charles Melville" 1 male
vu309 "Hansen  Mrs. Claus Peter (Jennie L Howard)" 3 female
vu310 "Cacic  Mr. Jego Grga" 3 male
vu311 "Vartanian  Mr. David" 3 male
vu312 "Sadowitz  Mr. Harry" 3 male
vu313 "Carr  Miss. Jeannie" 3 female
vu314 "White  Mrs. John Stuart (Ella Holmes)" 1 female
vu315 "Hagardon  Miss. Kate" 3 female
vu316 "Spencer  Mr. William Augustus" 1 male
vu317 "Rogers  Mr. Reginald Harry" 2 male
vu318 "Jonsson  Mr. Nils Hilding" 3 male
vu319 "Jefferys  Mr. Ernest Wilfred" 2 male
vu320 "Andersson  Mr. Johan Samuel" 3 male
vu321 "Krekorian  Mr. Neshan" 3 male
vu322 "Nesson  Mr. Israel" 2 male
vu323 "Rowe  Mr. Alfred G" 1 male
vu324 "Kreuchen  Miss. Emilie" 1 female
vu325 "Assam  Mr. Ali" 3 male
vu326 "Becker  Miss. Ruth Elizabeth" 2 female
vu327 "Rosenshine  Mr. George (Mr George Thorne"")""" 1 male
vu328 "Clarke  Mr. Charles Valentine" 2 male
vu329 "Enander  Mr. Ingvar" 2 male
vu330 "Davies  Mrs. John Morgan (Elizabeth Agnes Mary White) " 2 female
vu331 "Dulles  Mr. William Crothers" 1 male
vu332 "Thomas  Mr. Tannous" 3 male
vu333 "Nakid  Mrs. Said (Waika Mary"" Mowad)""" 3 female
vu334 "Cor  Mr. Ivan" 3 male
vu335 "Maguire  Mr. John Edward" 1 male
vu336 "de Brito  Mr. Jose Joaquim" 2 male
vu337 "Elias  Mr. Joseph" 3 male
vu338 "Denbury  Mr. Herbert" 2 male
vu339 "Betros  Master. Seman" 3 male
vu340 "Fillbrook  Mr. Joseph Charles" 2 male
vu341 "Lundstrom  Mr. Thure Edvin" 3 male
vu342 "Sage  Mr. John George" 3 male
vu343 "Cardeza  Mrs. James Warburton Martinez (Charlotte Wardle Drake)" 1 female
vu344 "van Billiard  Master. James William" 3 male
vu345 "Abelseth  Miss. Karen Marie" 3 female
vu346 "Botsford  Mr. William Hull" 2 male
vu347 "Whabee  Mrs. George Joseph (Shawneene Abi-Saab)" 3 female
vu348 "Giles  Mr. Ralph" 2 male
vu349 "Walcroft  Miss. Nellie" 2 female
vu350 "Greenfield  Mrs. Leo David (Blanche Strouse)" 1 female
vu351 "Stokes  Mr. Philip Joseph" 2 male
vu352 "Dibden  Mr. William" 2 male
vu353 "Herman  Mr. Samuel" 2 male
vu354 "Dean  Miss. Elizabeth Gladys Millvina""""" 3 female
vu355 "Julian  Mr. Henry Forbes" 1 male
vu356 "Brown  Mrs. John Murray (Caroline Lane Lamson)" 1 female
vu357 "Lockyer  Mr. Edward" 3 male
vu358 "O'Keefe  Mr. Patrick" 3 male
vu359 "Lindell  Mrs. Edvard Bengtsson (Elin Gerda Persson)" 3 female
vu360 "Sage  Master. William Henry" 3 male
vu361 "Mallet  Mrs. Albert (Antoinette Magnin)" 2 female
vu362 "Ware  Mrs. John James (Florence Louise Long)" 2 female
vu363 "Strilic  Mr. Ivan" 3 male
vu364 "Harder  Mrs. George Achilles (Dorothy Annan)" 1 female
vu365 "Sage  Mrs. John (Annie Bullen)" 3 female
vu366 "Caram  Mr. Joseph" 3 male
vu367 "Riihivouri  Miss. Susanna Juhantytar Sanni""""" 3 female
vu368 "Gibson  Mrs. Leonard (Pauline C Boeson)" 1 female
vu369 "Pallas y Castello  Mr. Emilio" 2 male
vu370 "Giles  Mr. Edgar" 2 male
vu371 "Wilson  Miss. Helen Alice" 1 female
vu372 "Ismay  Mr. Joseph Bruce" 1 male
vu373 "Harbeck  Mr. William H" 2 male
vu374 "Dodge  Mrs. Washington (Ruth Vidaver)" 1 female
vu375 "Bowen  Miss. Grace Scott" 1 female
vu376 "Kink  Miss. Maria" 3 female
vu377 "Cotterill  Mr. Henry Harry""""" 2 male
vu378 "Hipkins  Mr. William Edward" 1 male
vu379 "Asplund  Master. Carl Edgar" 3 male
vu380 "O'Connor  Mr. Patrick" 3 male
vu381 "Foley  Mr. Joseph" 3 male
vu382 "Risien  Mrs. Samuel (Emma)" 3 female
vu383 "McNamee  Mrs. Neal (Eileen O'Leary)" 3 female
vu384 "Wheeler  Mr. Edwin Frederick""""" 2 male
vu385 "Herman  Miss. Kate" 2 female
vu386 "Aronsson  Mr. Ernst Axel Algot" 3 male
vu387 "Ashby  Mr. John" 2 male
vu388 "Canavan  Mr. Patrick" 3 male
vu389 "Palsson  Master. Paul Folke" 3 male
vu390 "Payne  Mr. Vivian Ponsonby" 1 male
vu391 "Lines  Mrs. Ernest H (Elizabeth Lindsey James)" 1 female
vu392 "Abbott  Master. Eugene Joseph" 3 male
vu393 "Gilbert  Mr. William" 2 male
vu394 "Kink-Heilmann  Mr. Anton" 3 male
vu395 "Smith  Mrs. Lucien Philip (Mary Eloise Hughes)" 1 female
vu396 "Colbert  Mr. Patrick" 3 male
vu397 "Frolicher-Stehli  Mrs. Maxmillian (Margaretha Emerentia Stehli)" 1 female
vu398 "Larsson-Rondberg  Mr. Edvard A" 3 male
vu399 "Conlon  Mr. Thomas Henry" 3 male
vu400 "Bonnell  Miss. Caroline" 1 female
vu401 "Gale  Mr. Harry" 2 male
vu402 "Gibson  Miss. Dorothy Winifred" 1 female
vu403 "Carrau  Mr. Jose Pedro" 1 male
vu404 "Frauenthal  Mr. Isaac Gerald" 1 male
vu405 "Nourney  Mr. Alfred (Baron von Drachstedt"")""" 2 male
vu406 "Ware  Mr. William Jeffery" 2 male
vu407 "Widener  Mr. George Dunton" 1 male
vu408 "Riordan  Miss. Johanna Hannah""""" 3 female
vu409 "Peacock  Miss. Treasteall" 3 female
vu410 "Naughton  Miss. Hannah" 3 female
vu411 "Minahan  Mrs. William Edward (Lillian E Thorpe)" 1 female
vu412 "Henriksson  Miss. Jenny Lovisa" 3 female
vu413 "Spector  Mr. Woolf" 3 male
vu414 "Oliva y Ocana  Dona. Fermina" 1 female
vu415 "Saether  Mr. Simon Sivertsen" 3 male
vu416 "Ware  Mr. Frederick" 3 male
vu417 "Peter  Master. Michael J" 3 male

